date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:11:49	168/168	---MC-	200	added ('OK')	text/plain	date:Thu,%2027%20Jul%202023%2021:09:40%20GMT	https://paltonmorgan.com/robots.txt		(from )
22:11:56	538759/538759	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jul%202023%2021:09:40%20GMT	https://paltonmorgan.com/	C:/My%20Web%20Sites/real%20estate/paltonmorgan.com/index.html	(from )
22:11:59	8849/8849	---M--	200	added ('OK')	image/png	date:Thu,%2011%20Mar%202021%2008:09:32%20GMT	https://paltonmorgan.com/naresus/2020/10/Palton-morgan-logo2.png	C:/My%20Web%20Sites/real%20estate/paltonmorgan.com/naresus/2020/10/Palton-morgan-logo2.png	(from https://paltonmorgan.com/)
22:12:00	17818/17818	---MC-	200	added ('OK')	application/rss+xml	etag:%22ad2acbbac76a2385027f204ec7f75cde%22	https://paltonmorgan.com/feed/	C:/My%20Web%20Sites/real%20estate/paltonmorgan.com/feed/index.html	(from https://paltonmorgan.com/)
22:12:01	97240/97240	---M--	200	added ('OK')	text/css	date:Thu,%2027%20Jul%202023%2021:09:52%20GMT	https://paltonmorgan.com/rohuneg/litespeed/css/e237dfe772a46a7b56449fd1e9aedc5f.css?ver=edc5f	C:/My%20Web%20Sites/real%20estate/paltonmorgan.com/rohuneg/litespeed/css/e237dfe772a46a7b56449fd1e9aedc5fd443.css	(from https://paltonmorgan.com/)
22:12:01	674/674	---MC-	200	added ('OK')	application/rss+xml	etag:%22ad2acbbac76a2385027f204ec7f75cde%22	https://paltonmorgan.com/comments/feed/	C:/My%20Web%20Sites/real%20estate/paltonmorgan.com/comments/feed/index.html	(from https://paltonmorgan.com/)
22:12:02	291/291	---M--	200	added ('OK')	text/css	date:Thu,%2027%20Jul%202023%2021:09:52%20GMT	https://paltonmorgan.com/rohuneg/litespeed/css/c12b3a87b8066debf01c053f7b93e949.css?ver=3e949	C:/My%20Web%20Sites/real%20estate/paltonmorgan.com/rohuneg/litespeed/css/c12b3a87b8066debf01c053f7b93e949bb16.css	(from https://paltonmorgan.com/)
22:12:03	1330/1330	---M--	200	added ('OK')	text/css	date:Thu,%2027%20Jul%202023%2021:09:54%20GMT	https://paltonmorgan.com/rohuneg/litespeed/css/88a4ba7ec2b4d24f5a7574eb3b7ebf70.css?ver=ebf70	C:/My%20Web%20Sites/real%20estate/paltonmorgan.com/rohuneg/litespeed/css/88a4ba7ec2b4d24f5a7574eb3b7ebf70ebe2.css	(from https://paltonmorgan.com/)
22:12:06	54264/54264	---M--	200	added ('OK')	font/woff	date:Mon,%2017%20Apr%202023%2009:44:36%20GMT	https://paltonmorgan.com/sesupeh/fonts/Business/Business.woff	C:/My%20Web%20Sites/real%20estate/paltonmorgan.com/sesupeh/fonts/Business/Business.woff	(from https://paltonmorgan.com/)
22:12:13	425453/425453	---M--	200	added ('OK')	text/css	date:Thu,%2027%20Jul%202023%2021:09:54%20GMT	https://paltonmorgan.com/rohuneg/litespeed/css/921337446d9666a6f07c31b7e13103d8.css?ver=103d8	C:/My%20Web%20Sites/real%20estate/paltonmorgan.com/rohuneg/litespeed/css/921337446d9666a6f07c31b7e13103d8a5e3.css	(from https://paltonmorgan.com/)
22:12:15	1972899/1972899	---M--	200	added ('OK')	text/css	date:Thu,%2027%20Jul%202023%2021:09:54%20GMT	https://paltonmorgan.com/rohuneg/litespeed/css/9ef04083b10d2d4f2afc2262f61c8e2d.css?ver=c8e2d	C:/My%20Web%20Sites/real%20estate/paltonmorgan.com/rohuneg/litespeed/css/9ef04083b10d2d4f2afc2262f61c8e2d4bf5.css	(from https://paltonmorgan.com/)
22:12:17	119796/119796	---M--	200	added ('OK')	font/ttf	date:Mon,%2017%20Apr%202023%2009:44:36%20GMT	https://paltonmorgan.com/sesupeh/fonts/Business/Business.ttf	C:/My%20Web%20Sites/real%20estate/paltonmorgan.com/sesupeh/fonts/Business/Business.ttf	(from https://paltonmorgan.com/)
22:12:18	34852/34852	---M--	200	added ('OK')	font/woff	date:Mon,%2017%20Apr%202023%2009:44:36%20GMT	https://paltonmorgan.com/sesupeh/fonts/Design/Design.woff	C:/My%20Web%20Sites/real%20estate/paltonmorgan.com/sesupeh/fonts/Design/Design.woff	(from https://paltonmorgan.com/)
22:12:23	52676/52676	---M--	200	added ('OK')	font/woff	date:Mon,%2017%20Apr%202023%2009:44:36%20GMT	https://paltonmorgan.com/sesupeh/fonts/Dripicons/Dripicons.woff	C:/My%20Web%20Sites/real%20estate/paltonmorgan.com/sesupeh/fonts/Dripicons/Dripicons.woff	(from https://paltonmorgan.com/)
22:12:24	115444/115444	---M--	200	added ('OK')	font/ttf	date:Mon,%2017%20Apr%202023%2009:44:36%20GMT	https://paltonmorgan.com/sesupeh/fonts/Design/Design.ttf	C:/My%20Web%20Sites/real%20estate/paltonmorgan.com/sesupeh/fonts/Design/Design.ttf	(from https://paltonmorgan.com/)
22:12:24	52600/52600	---M--	200	added ('OK')	font/ttf	date:Mon,%2017%20Apr%202023%2009:44:36%20GMT	https://paltonmorgan.com/sesupeh/fonts/Dripicons/Dripicons.ttf	C:/My%20Web%20Sites/real%20estate/paltonmorgan.com/sesupeh/fonts/Dripicons/Dripicons.ttf	(from https://paltonmorgan.com/)
